Time,Dev1/ai0,Average
42:30.2,0.905082081,0.899464606
42:30.2,0.901861052,
42:30.2,0.90379367,
42:30.2,0.905404184,
42:30.2,0.902827361,
42:30.2,0.901861052,
42:30.2,0.904437875,
42:30.2,0.903471567,
42:30.2,0.905726287,
42:30.3,0.894452685,
42:30.3,0.899606332,
42:30.3,0.901861052,
42:30.3,0.90604839,
42:30.3,0.894452685,
42:30.3,0.904437875,
42:30.3,0.897995817,
42:30.3,0.902183155,
42:30.3,0.899284229,
42:30.3,0.898640023,
42:30.4,0.905082081,
42:30.4,0.907014699,
42:30.4,0.896707405,
42:30.4,0.904437875,
42:30.4,0.903149464,
42:30.4,0.899606332,
42:30.4,0.90057264,
42:30.4,0.907981007,
42:30.4,0.900250537,
42:30.4,0.895096891,
42:30.5,0.895418994,
42:30.5,0.898640023,
42:30.5,0.89831792,
42:30.5,0.899284229,
42:30.5,0.899606332,
42:30.5,0.899284229,
42:30.5,0.900894743,
42:30.5,0.905082081,
42:30.5,0.901538949,
42:30.5,0.898640023,
42:30.6,0.898640023,
42:30.6,0.901861052,
42:30.6,0.890909553,
42:30.6,0.899606332,
42:30.6,0.897995817,
42:30.6,0.901216846,
42:30.6,0.905404184,
42:30.6,0.897351611,
42:30.6,0.903471567,
42:30.6,0.897351611,
42:30.7,0.905404184,
42:30.7,0.899928435,
42:30.7,0.901538949,
42:30.7,0.903149464,
42:30.7,0.896707405,
42:30.7,0.898962126,
42:30.7,0.897995817,
42:30.7,0.907981007,
42:30.7,0.907336802,
42:30.7,0.900894743,
42:30.8,0.902183155,
42:30.8,0.901861052,
42:30.8,0.891553759,
42:30.8,0.903149464,
42:30.8,0.895741097,
42:30.8,0.905404184,
42:30.8,0.899284229,
42:30.8,0.909269419,
42:30.8,0.897995817,
42:30.8,0.897351611,
42:30.9,0.905726287,
42:30.9,0.895418994,
42:30.9,0.907981007,
42:30.9,0.90379367,
42:30.9,0.902505258,
42:30.9,0.896707405,
42:30.9,0.901861052,
42:30.9,0.894774788,
42:30.9,0.899606332,
42:30.9,0.895096891,
42:31.0,0.904437875,
42:31.0,0.904437875,
42:31.0,0.897995817,
42:31.0,0.897673714,
42:31.0,0.901538949,
42:31.0,0.897995817,
42:31.0,0.896707405,
42:31.0,0.896063199,
42:31.0,0.894774788,
42:31.0,0.898640023,
42:31.1,0.897351611,
42:31.1,0.895741097,
42:31.1,0.897995817,
42:31.1,0.90057264,
42:31.1,0.906370493,
42:31.1,0.901216846,
42:31.1,0.893808479,
42:31.1,0.898962126,
42:31.1,0.903471567,
42:31.1,0.900894743,
42:31.2,0.888976935,
42:31.2,0.906692596,
42:31.2,0.901538949,
42:31.2,0.899284229,
42:31.2,0.899284229,
42:31.2,0.897351611,
42:31.2,0.898640023,
42:31.2,0.897351611,
42:31.2,0.902505258,
42:31.2,0.90379367,
42:31.3,0.902183155,
42:31.3,0.90057264,
42:31.3,0.905082081,
42:31.3,0.909913625,
