Time,Dev1/ai0,Average
25:39.6,0.17423056,0.173795076
25:39.6,0.17648528,
25:39.7,0.173586354,
25:39.7,0.174552663,
25:39.7,0.17423056,
25:39.7,0.171975839,
25:39.7,0.172942148,
25:39.7,0.173908457,
25:39.7,0.174874765,
25:39.7,0.171653736,
25:39.7,0.171975839,
25:39.7,0.174874765,
25:39.8,0.175841074,
25:39.8,0.175196868,
25:39.8,0.175196868,
25:39.8,0.175196868,
25:39.8,0.17423056,
25:39.8,0.173586354,
25:39.8,0.176807383,
25:39.8,0.174552663,
25:39.8,0.172297942,
25:39.8,0.173908457,
25:39.9,0.172620045,
25:39.9,0.172297942,
25:39.9,0.173586354,
25:39.9,0.173908457,
25:39.9,0.172942148,
25:39.9,0.172620045,
25:39.9,0.172620045,
25:39.9,0.173908457,
25:39.9,0.175196868,
25:39.9,0.175196868,
25:40.0,0.174874765,
25:40.0,0.171975839,
25:40.0,0.172942148,
25:40.0,0.172297942,
25:40.0,0.173264251,
25:40.0,0.175518971,
25:40.0,0.17100953,
25:40.0,0.174874765,
25:40.0,0.171975839,
25:40.0,0.175841074,
25:40.1,0.17648528,
25:40.1,0.172297942,
25:40.1,0.171653736,
25:40.1,0.176807383,
25:40.1,0.179706309,
25:40.1,0.17423056,
25:40.1,0.174874765,
25:40.1,0.175518971,
25:40.1,0.175841074,
25:40.1,0.173264251,
25:40.2,0.173264251,
25:40.2,0.170043222,
25:40.2,0.175196868,
25:40.2,0.172297942,
25:40.2,0.174552663,
25:40.2,0.175196868,
25:40.2,0.167144295,
25:40.2,0.17100953,
25:40.2,0.173908457,
25:40.2,0.166822192,
25:40.3,0.17100953,
25:40.3,0.17423056,
25:40.3,0.175196868,
25:40.3,0.175841074,
25:40.3,0.171331633,
25:40.3,0.172620045,
25:40.3,0.173586354,
25:40.3,0.176807383,
25:40.3,0.175841074,
25:40.3,0.173586354,
25:40.4,0.17648528,
25:40.4,0.170687428,
25:40.4,0.178095795,
25:40.4,0.174552663,
25:40.4,0.172942148,
25:40.4,0.173586354,
25:40.4,0.172297942,
25:40.4,0.173586354,
25:40.4,0.173586354,
25:40.4,0.175196868,
25:40.5,0.173908457,
25:40.5,0.171975839,
25:40.5,0.175196868,
25:40.5,0.172297942,
25:40.5,0.173264251,
25:40.5,0.173264251,
25:40.5,0.172620045,
25:40.5,0.174874765,
25:40.5,0.173908457,
25:40.5,0.174552663,
25:40.6,0.17648528,
25:40.6,0.176807383,
25:40.6,0.176163177,
25:40.6,0.172942148,
25:40.6,0.176163177,
25:40.6,0.173586354,
25:40.6,0.171975839,
25:40.6,0.175518971,
25:40.6,0.17100953,
25:40.6,0.169721119,
25:40.7,0.173908457,
25:40.7,0.173586354,
25:40.7,0.175196868,
25:40.7,0.175841074,
25:40.7,0.173264251,
25:40.7,0.174874765,
25:40.7,0.170687428,
25:40.7,0.173908457,
25:40.7,0.173908457,
25:40.7,0.17648528,
25:40.8,0.172620045,
25:40.8,0.172297942,
25:40.8,0.170687428,
25:40.8,0.177451589,
25:40.8,0.173586354,
25:40.8,0.174552663,
25:40.8,0.172297942,
25:40.8,0.173586354,
25:40.8,0.169399016,
25:40.8,0.175196868,
25:40.9,0.174874765,
25:40.9,0.173908457,
25:40.9,0.172942148,
25:40.9,0.176807383,
25:40.9,0.173586354,
25:40.9,0.175196868,
25:40.9,0.174552663,
25:40.9,0.17423056,
25:40.9,0.178095795,
25:40.9,0.174874765,
25:41.0,0.173586354,
25:41.0,0.172297942,
25:41.0,0.175196868,
25:41.0,0.174874765,
25:41.0,0.177773692,
25:41.0,0.175841074,
25:41.0,0.171653736,
25:41.0,0.17423056,
25:41.0,0.173586354,
25:41.0,0.173264251,
25:41.1,0.172942148,
25:41.1,0.172297942,
25:41.1,0.173586354,
25:41.1,0.176163177,
25:41.1,0.170365325,
25:41.1,0.174552663,
25:41.1,0.172297942,
25:41.1,0.173586354,
25:41.1,0.171975839,
25:41.1,0.175841074,
25:41.2,0.174552663,
25:41.2,0.172942148,
25:41.2,0.174552663,
25:41.2,0.169399016,
25:41.2,0.172297942,
25:41.2,0.174874765,
25:41.2,0.172297942,
25:41.2,0.171653736,
25:41.2,0.173586354,
25:41.2,0.170687428,
25:41.3,0.172297942,
25:41.3,0.173586354,
25:41.3,0.171653736,
25:41.3,0.175518971,
25:41.3,0.170043222,
25:41.3,0.174874765,
25:41.3,0.170043222,
25:41.3,0.172620045,
25:41.3,0.175196868,
25:41.3,0.172620045,
25:41.4,0.17423056,
25:41.4,0.173586354,
25:41.4,0.171975839,
25:41.4,0.172942148,
25:41.4,0.172297942,
25:41.4,0.176163177,
25:41.4,0.176163177,
25:41.4,0.170365325,
25:41.4,0.175196868,
25:41.4,0.173586354,
25:41.5,0.171653736,
25:41.5,0.17648528,
25:41.5,0.17423056,
25:41.5,0.172620045,
25:41.5,0.172620045,
25:41.5,0.17423056,
25:41.5,0.174874765,
25:41.5,0.174552663,
25:41.5,0.173908457,
25:41.5,0.174874765,
25:41.6,0.173908457,
25:41.6,0.174874765,
25:41.6,0.173264251,
25:41.6,0.173264251,
25:41.6,0.175196868,
25:41.6,0.173908457,
25:41.6,0.177451589,
25:41.6,0.179706309,
25:41.6,0.17423056,
25:41.6,0.17423056,
25:41.7,0.172297942,
25:41.7,0.173908457,
25:41.7,0.174552663,
