Time,Dev1/ai0,Average
51:38.6,1.681350114,1.681059577
51:38.6,1.678773291,
51:38.6,1.681028011,
51:38.6,1.680383806,
51:38.6,1.677484879,
51:38.6,1.676518571,
51:38.6,1.696811054,
51:38.6,1.68199432,
51:38.6,1.678773291,
51:38.7,1.681350114,
51:38.7,1.678129085,
51:38.7,1.682638526,
51:38.7,1.680061703,
51:38.7,1.678773291,
51:38.7,1.687792173,
51:38.7,1.676840673,
51:38.7,1.687792173,
51:38.7,1.684571143,
51:38.7,1.682960629,
51:38.8,1.677806982,
51:38.8,1.687147967,
51:38.8,1.681028011,
51:38.8,1.673941747,
51:38.8,1.682316423,
51:38.8,1.681672217,
51:38.8,1.683926938,
51:38.8,1.677162776,
51:38.8,1.674908056,
51:38.8,1.682960629,
51:38.9,1.676840673,
51:38.9,1.688114276,
51:38.9,1.688436378,
51:38.9,1.673297541,
51:38.9,1.683604835,
51:38.9,1.672975438,
51:38.9,1.681028011,
51:38.9,1.678773291,
51:38.9,1.677484879,
51:38.9,1.685537452,
51:39.0,1.6797396,
51:39.0,1.673941747,
51:39.0,1.678129085,
51:39.0,1.678451188,
51:39.0,1.673941747,
51:39.0,1.686503761,
51:39.0,1.678129085,
51:39.0,1.680705908,
51:39.0,1.680705908,
51:39.0,1.680705908,
51:39.1,1.688758481,
51:39.1,1.684249041,
51:39.1,1.674585953,
51:39.1,1.684893246,
51:39.1,1.680705908,
51:39.1,1.68199432,
51:39.1,1.680061703,
51:39.1,1.684571143,
51:39.1,1.674585953,
51:39.1,1.685537452,
51:39.2,1.682316423,
51:39.2,1.69745526,
51:39.2,1.6797396,
51:39.2,1.673297541,
51:39.2,1.684571143,
51:39.2,1.680061703,
51:39.2,1.676518571,
51:39.2,1.683604835,
51:39.2,1.681350114,
51:39.2,1.682316423,
51:39.3,1.677484879,
51:39.3,1.681672217,
51:39.3,1.678773291,
51:39.3,1.678451188,
51:39.3,1.685859555,
51:39.3,1.675552262,
51:39.3,1.672331233,
51:39.3,1.678773291,
51:39.3,1.675874365,
51:39.3,1.691013202,
51:39.4,1.682960629,
51:39.4,1.676840673,
51:39.4,1.683926938,
51:39.4,1.676196468,
51:39.4,1.68747007,
51:39.4,1.680383806,
51:39.4,1.684571143,
51:39.4,1.681350114,
51:39.4,1.672975438,
51:39.4,1.68199432,
51:39.5,1.680705908,
51:39.5,1.688114276,
51:39.5,1.683604835,
51:39.5,1.690368996,
51:39.5,1.678451188,
51:39.5,1.675552262,
51:39.5,1.685537452,
51:39.5,1.684249041,
51:39.5,1.668465998,
51:39.5,1.680061703,
51:39.6,1.675552262,
51:39.6,1.681350114,
51:39.6,1.68747007,
51:39.6,1.672975438,
51:39.6,1.680061703,
51:39.6,1.679095394,
51:39.6,1.681672217,
51:39.6,1.678129085,
51:39.6,1.683604835,
51:39.6,1.677162776,
51:39.7,1.680061703,
51:39.7,1.681672217,
51:39.7,1.676840673,
51:39.7,1.670720718,
51:39.7,1.686181658,
51:39.7,1.667499689,
51:39.7,1.680383806,
51:39.7,1.688114276,
51:39.7,1.675874365,
51:39.7,1.678129085,
51:39.8,1.680705908,
51:39.8,1.686825864,
51:39.8,1.683604835,
51:39.8,1.68199432,
51:39.8,1.683926938,
51:39.8,1.678451188,
51:39.8,1.682316423,
51:39.8,1.688114276,
51:39.8,1.680705908,
51:39.8,1.674908056,
51:39.9,1.68972479,
51:39.9,1.685859555,
51:39.9,1.683604835,
51:39.9,1.687792173,
51:39.9,1.675552262,
51:39.9,1.684571143,
51:39.9,1.680705908,
51:39.9,1.680383806,
51:39.9,1.688758481,
51:39.9,1.687147967,
51:40.0,1.681028011,
51:40.0,1.67426385,
51:40.0,1.686503761,
51:40.0,1.681350114,
51:40.0,1.683604835,
51:40.0,1.693267922,
51:40.0,1.678451188,
51:40.0,1.682316423,
51:40.0,1.684249041,
51:40.0,1.687147967,
51:40.1,1.681672217,
51:40.1,1.688758481,
51:40.1,1.683282732,
51:40.1,1.691979511,
51:40.1,1.685859555,
51:40.1,1.686503761,
51:40.1,1.672653335,
51:40.1,1.676196468,
51:40.1,1.683282732,
51:40.1,1.67426385,
51:40.2,1.680383806,
51:40.2,1.675552262,
51:40.2,1.675552262,
51:40.2,1.672653335,
51:40.2,1.678129085,
51:40.2,1.680061703,
51:40.2,1.674908056,
51:40.2,1.685537452,
51:40.2,1.686503761,
51:40.2,1.677484879,
51:40.3,1.686181658,
51:40.3,1.687147967,
51:40.3,1.676840673,
51:40.3,1.680705908,
51:40.3,1.6797396,
51:40.3,1.684249041,
51:40.3,1.687147967,
51:40.3,1.683282732,
51:40.3,1.680061703,
51:40.3,1.68199432,
51:40.4,1.687147967,
51:40.4,1.690046893,
51:40.4,1.689402687,
51:40.4,1.677162776,
51:40.4,1.679417497,
51:40.4,1.684249041,
51:40.4,1.690691099,
51:40.4,1.678129085,
51:40.4,1.679095394,
51:40.4,1.683282732,
51:40.5,1.678451188,
51:40.5,1.683282732,
51:40.5,1.679417497,
51:40.5,1.687147967,
51:40.5,1.680705908,
51:40.5,1.676196468,
51:40.5,1.689402687,
51:40.5,1.682316423,
51:40.5,1.674908056,
51:40.5,1.686181658,
51:40.6,1.691335305,
51:40.6,1.685215349,
51:40.6,1.679417497,
51:40.6,1.68199432,
51:40.6,1.690368996,
51:40.6,1.684571143,
51:40.6,1.679095394,
51:40.6,1.678773291,
51:40.6,1.674908056,
51:40.6,1.674908056,
51:40.7,1.687147967,
51:40.7,1.688114276,
51:40.7,1.678773291,
51:40.7,1.675230159,
51:40.7,1.685215349,
51:40.7,1.678773291,
51:40.7,1.67426385,
51:40.7,1.681028011,
51:40.7,1.678773291,
51:40.7,1.678451188,
51:40.8,1.693267922,
51:40.8,1.679417497,
51:40.8,1.68747007,
51:40.8,1.690691099,
51:40.8,1.674908056,
51:40.8,1.684893246,
51:40.8,1.676196468,
51:40.8,1.683604835,
51:40.8,1.68199432,
51:40.8,1.679095394,
51:40.9,1.683926938,
51:40.9,1.675552262,
51:40.9,1.685215349,
51:40.9,1.685215349,
51:40.9,1.681350114,
51:40.9,1.671687027,
51:40.9,1.672331233,
51:40.9,1.676518571,
51:40.9,1.682316423,
51:40.9,1.684893246,
51:41.0,1.685215349,
51:41.0,1.696811054,
51:41.0,1.691335305,
51:41.0,1.678773291,
51:41.0,1.663312351,
51:41.0,1.690368996,
51:41.0,1.677484879,
51:41.0,1.690046893,
51:41.0,1.677484879,
51:41.0,1.678451188,
51:41.1,1.672975438,
51:41.1,1.676196468,
51:41.1,1.67426385,
51:41.1,1.682638526,
51:41.1,1.692623716,
51:41.1,1.683926938,
51:41.1,1.680705908,
51:41.1,1.682638526,
51:41.1,1.681672217,
51:41.1,1.680383806,
51:41.2,1.685537452,
51:41.2,1.662023939,
51:41.2,1.682316423,
51:41.2,1.690046893,
51:41.2,1.680061703,
51:41.2,1.669432306,
51:41.2,1.683282732,
51:41.2,1.680061703,
51:41.2,1.68747007,
51:41.2,1.681028011,
51:41.3,1.683604835,
51:41.3,1.685215349,
51:41.3,1.669432306,
51:41.3,1.686825864,
51:41.3,1.672653335,
51:41.3,1.682960629,
51:41.3,1.681672217,
51:41.3,1.68747007,
51:41.3,1.675230159,
51:41.3,1.683926938,
51:41.4,1.684893246,
51:41.4,1.679095394,
51:41.4,1.684249041,
51:41.4,1.675230159,
51:41.4,1.672653335,
51:41.4,1.686825864,
51:41.4,1.682960629,
51:41.4,1.681672217,
51:41.4,1.674908056,
51:41.4,1.681672217,
51:41.5,1.681028011,
51:41.5,1.681672217,
51:41.5,1.682316423,
51:41.5,1.683926938,
51:41.5,1.681672217,
51:41.5,1.682638526,
51:41.5,1.678129085,
51:41.5,1.68199432,
51:41.5,1.674908056,
51:41.5,1.687147967,
51:41.6,1.678773291,
51:41.6,1.676518571,
51:41.6,1.680705908,
51:41.6,1.678129085,
51:41.6,1.670398615,
51:41.6,1.691013202,
51:41.6,1.677162776,
51:41.6,1.674585953,
51:41.6,1.681350114,
51:41.6,1.682316423,
51:41.7,1.699387878,
51:41.7,1.680383806,
51:41.7,1.683604835,
51:41.7,1.683282732,
51:41.7,1.669754409,
51:41.7,1.677806982,
51:41.7,1.689080584,
51:41.7,1.672975438,
51:41.7,1.671687027,
51:41.7,1.676196468,
51:41.8,1.684893246,
51:41.8,1.677806982,
51:41.8,1.684571143,
51:41.8,1.68972479,
51:41.8,1.672975438,
51:41.8,1.675230159,
51:41.8,1.683282732,
51:41.8,1.681028011,
51:41.8,1.684249041,
51:41.8,1.67200913,
51:41.9,1.676518571,
51:41.9,1.689080584,
51:41.9,1.677484879,
51:41.9,1.681672217,
51:41.9,1.685215349,
51:41.9,1.680061703,
51:41.9,1.677162776,
51:41.9,1.685537452,
51:41.9,1.677806982,
51:41.9,1.680383806,
51:42.0,1.675230159,
51:42.0,1.672331233,
51:42.0,1.682638526,
51:42.0,1.677162776,
51:42.0,1.686503761,
51:42.0,1.692945819,
51:42.0,1.685537452,
51:42.0,1.685537452,
51:42.0,1.676840673,
51:42.0,1.679095394,
51:42.1,1.672975438,
51:42.1,1.680383806,
51:42.1,1.680705908,
51:42.1,1.685859555,
51:42.1,1.67426385,
51:42.1,1.688436378,
51:42.1,1.676840673,
51:42.1,1.676196468,
51:42.1,1.680705908,
51:42.1,1.681672217,
51:42.2,1.684571143,
51:42.2,1.685859555,
51:42.2,1.671687027,
51:42.2,1.688114276,
51:42.2,1.676196468,
51:42.2,1.674585953,
51:42.2,1.675230159,
51:42.2,1.67200913,
51:42.2,1.684893246,
51:42.2,1.673941747,
51:42.3,1.671687027,
51:42.3,1.681672217,
51:42.3,1.684893246,
51:42.3,1.682638526,
51:42.3,1.68199432,
51:42.3,1.677162776,
51:42.3,1.683926938,
51:42.3,1.678773291,
51:42.3,1.686181658,
51:42.3,1.685859555,
51:42.4,1.684893246,
51:42.4,1.679095394,
51:42.4,1.687792173,
51:42.4,1.681350114,
