Time,Dev1/ai0,Average
35:17.2,0.001905498,0.001880424
35:17.2,0.002227601,
35:17.2,0.005126528,
35:17.2,0.003516013,
35:17.2,0.003838116,
35:17.2,0.00544863,
35:17.2,0.000294984,
35:17.2,0.001261292,
35:17.2,0.001583395,
35:17.2,0.000294984,
35:17.3,0.000617087,
35:17.3,0.00093919,
35:17.3,0.002549704,
35:17.3,0.001905498,
35:17.3,0.002549704,
35:17.3,0.00093919,
35:17.3,0.001583395,
35:17.3,0.002871807,
35:17.3,0.002227601,
35:17.3,0.001905498,
35:17.4,0.004482322,
35:17.4,-0.000993428,
35:17.4,0.002871807,
35:17.4,0.001583395,
35:17.4,0.002227601,
35:17.4,0.004160219,
35:17.4,0.00093919,
35:17.4,0.002227601,
35:17.4,0.002549704,
35:17.4,0.001261292,
35:17.5,0.002227601,
35:17.5,0.002871807,
35:17.5,0.003516013,
35:17.5,0.003516013,
35:17.5,0.002227601,
35:17.5,0.00319391,
35:17.5,0.001261292,
35:17.5,0.001905498,
35:17.5,-0.00228184,
35:17.5,0.003838116,
35:17.6,0.002227601,
35:17.6,0.001261292,
35:17.6,0.00093919,
35:17.6,0.001261292,
35:17.6,0.001261292,
35:17.6,0.002871807,
35:17.6,0.002227601,
35:17.6,0.000617087,
35:17.6,0.002871807,
35:17.6,0.004160219,
35:17.7,0.00319391,
35:17.7,0.001261292,
35:17.7,-2.71E-05,
35:17.7,0.002549704,
35:17.7,0.001583395,
35:17.7,0.002549704,
35:17.7,0.001905498,
35:17.7,0.00319391,
35:17.7,0.002549704,
35:17.7,0.002549704,
35:17.8,0.002227601,
35:17.8,0.002871807,
35:17.8,0.00093919,
35:17.8,0.002227601,
35:17.8,0.003838116,
35:17.8,-0.00228184,
35:17.8,0.002227601,
35:17.8,0.001261292,
35:17.8,0.000294984,
35:17.8,-0.000671325,
35:17.9,0.003516013,
35:17.9,0.00093919,
35:17.9,0.001905498,
35:17.9,0.001583395,
35:17.9,0.001261292,
35:17.9,0.002227601,
35:17.9,0.002227601,
35:17.9,0.003516013,
35:17.9,0.002227601,
35:17.9,0.001905498,
35:18.0,0.004160219,
35:18.0,0.005770733,
35:18.0,0.000617087,
35:18.0,-0.002603943,
35:18.0,0.00093919,
35:18.0,0.001905498,
35:18.0,0.004804425,
35:18.0,0.002871807,
35:18.0,-2.71E-05,
35:18.0,0.001261292,
35:18.1,0.001583395,
35:18.1,0.001261292,
35:18.1,0.002871807,
35:18.1,-0.002603943,
35:18.1,0.002549704,
35:18.1,0.004160219,
35:18.1,-0.000349222,
35:18.1,0.004804425,
35:18.1,0.004804425,
35:18.1,0.001905498,
35:18.2,0.003838116,
35:18.2,0.00093919,
35:18.2,0.00093919,
35:18.2,0.00093919,
35:18.2,0.001261292,
35:18.2,0.001583395,
35:18.2,0.00093919,
35:18.2,0.001583395,
35:18.2,0.000617087,
35:18.2,0.001583395,
35:18.3,-0.000349222,
35:18.3,0.002549704,
35:18.3,0.004482322,
35:18.3,0.002549704,
35:18.3,0.002549704,
35:18.3,0.004160219,
35:18.3,0.002227601,
35:18.3,0.001583395,
35:18.3,0.001261292,
35:18.3,0.002549704,
35:18.4,0.001261292,
35:18.4,0.00319391,
35:18.4,0.001905498,
35:18.4,0.002549704,
35:18.4,-0.000671325,
35:18.4,0.004160219,
35:18.4,0.002227601,
35:18.4,0.001905498,
35:18.4,0.00319391,
35:18.4,-2.71E-05,
35:18.5,0.002227601,
35:18.5,0.001583395,
35:18.5,0.001583395,
35:18.5,0.001583395,
35:18.5,0.001905498,
35:18.5,0.001583395,
35:18.5,0.001905498,
35:18.5,-0.000349222,
35:18.5,-2.71E-05,
35:18.5,0.002227601,
35:18.6,-0.000993428,
35:18.6,0.002227601,
35:18.6,-2.71E-05,
35:18.6,-0.000349222,
35:18.6,0.001261292,
35:18.6,0.00093919,
35:18.6,0.001905498,
35:18.6,0.002549704,
35:18.6,0.000617087,
35:18.6,0.00093919,
35:18.7,0.002549704,
35:18.7,0.002871807,
35:18.7,0.002549704,
35:18.7,0.002549704,
35:18.7,0.00093919,
35:18.7,0.001261292,
35:18.7,0.000617087,
35:18.7,0.004482322,
35:18.7,0.001905498,
35:18.7,0.004160219,
35:18.8,-0.000671325,
35:18.8,0.002227601,
35:18.8,0.00093919,
35:18.8,0.001905498,
35:18.8,0.003516013,
35:18.8,0.001905498,
35:18.8,0.001583395,
35:18.8,0.001905498,
35:18.8,0.000617087,
35:18.8,0.001905498,
35:18.9,-0.001637634,
35:18.9,0.002549704,
35:18.9,-2.71E-05,
35:18.9,-0.001959737,
35:18.9,0.00544863,
35:18.9,0.001261292,
35:18.9,0.002871807,
35:18.9,0.001261292,
35:18.9,-0.000671325,
35:18.9,0.000294984,
35:19.0,0.00093919,
35:19.0,0.000617087,
35:19.0,-0.000993428,
35:19.0,0.00319391,
35:19.0,0.001261292,
35:19.0,-0.001315531,
35:19.0,0.001583395,
35:19.0,0.001261292,
35:19.0,0.005126528,
35:19.0,0.00319391,
35:19.1,0.001583395,
35:19.1,0.002549704,
35:19.1,0.00093919,
35:19.1,0.001905498,
35:19.1,0.002227601,
35:19.1,0.00093919,
35:19.1,0.001583395,
35:19.1,0.002227601,
35:19.1,0.001583395,
35:19.1,0.002549704,
35:19.2,0.001905498,
35:19.2,0.002549704,
35:19.2,-2.71E-05,
35:19.2,0.000617087,
35:19.2,0.00093919,
35:19.2,0.001583395,
35:19.2,0.001583395,
35:19.2,0.002871807,
35:19.2,0.001905498,
35:19.2,0.00319391,
35:19.3,0.000617087,
35:19.3,0.001261292,
35:19.3,0.001261292,
35:19.3,0.002871807,
35:19.3,-2.71E-05,
35:19.3,0.000617087,
35:19.3,0.001583395,
35:19.3,0.001583395,
35:19.3,0.008347557,
35:19.3,0.002549704,
35:19.4,0.001261292,
35:19.4,0.00319391,
35:19.4,0.001261292,
35:19.4,0.00093919,
35:19.4,0.001261292,
35:19.4,0.00093919,
35:19.4,0.001583395,
35:19.4,0.001905498,
35:19.4,0.002227601,
35:19.4,0.003516013,
35:19.5,-2.71E-05,
35:19.5,0.002227601,
35:19.5,0.002549704,
35:19.5,0.004482322,
35:19.5,0.002227601,
35:19.5,0.001905498,
35:19.5,0.00093919,
35:19.5,0.002871807,
35:19.5,0.002227601,
35:19.5,0.002227601,
35:19.6,0.00093919,
35:19.6,0.003516013,
35:19.6,0.00319391,
35:19.6,0.001583395,
35:19.6,0.001261292,
35:19.6,0.002227601,
35:19.6,0.002871807,
35:19.6,0.003516013,
35:19.6,0.00093919,
35:19.6,0.001583395,
35:19.7,0.003516013,
35:19.7,0.00093919,
35:19.7,0.002227601,
35:19.7,0.002227601,
35:19.7,0.001905498,
35:19.7,0.000617087,
35:19.7,0.001261292,
35:19.7,0.002227601,
35:19.7,0.002227601,
35:19.7,0.000294984,
35:19.8,0.004160219,
35:19.8,0.002227601,
35:19.8,0.001583395,
35:19.8,0.001583395,
35:19.8,-0.001959737,
35:19.8,0.001583395,
35:19.8,0.003838116,
35:19.8,0.003516013,
35:19.8,0.00319391,
35:19.8,0.001905498,
35:19.9,0.00319391,
35:19.9,0.002549704,
35:19.9,0.002227601,
35:19.9,0.001261292,
35:19.9,0.000294984,
35:19.9,0.004482322,
35:19.9,0.001905498,
35:19.9,0.003838116,
35:19.9,0.000294984,
35:19.9,0.001261292,
35:20.0,0.000294984,
35:20.0,0.001261292,
35:20.0,0.00319391,
35:20.0,0.00093919,
35:20.0,0.001905498,
35:20.0,0.002227601,
35:20.0,0.001905498,
35:20.0,0.001261292,
35:20.0,0.001583395,
35:20.0,0.001583395,
35:20.1,0.001905498,
35:20.1,0.004160219,
35:20.1,0.002549704,
35:20.1,-0.000671325,
35:20.1,0.002871807,
35:20.1,0.001583395,
35:20.1,0.00093919,
35:20.1,0.001905498,
35:20.1,0.000617087,
35:20.1,0.001583395,
35:20.2,0.002227601,
35:20.2,0.001261292,
35:20.2,0.002227601,
35:20.2,0.001583395,
35:20.2,0.002227601,
35:20.2,0.004804425,
35:20.2,0.001261292,
35:20.2,-2.71E-05,
35:20.2,0.000294984,
35:20.2,0.001583395,
35:20.3,0.001583395,
35:20.3,0.002227601,
35:20.3,0.001261292,
35:20.3,0.002227601,
35:20.3,0.001905498,
35:20.3,0.001583395,
35:20.3,0.002227601,
35:20.3,0.00319391,
35:20.3,0.001905498,
35:20.3,0.001905498,
35:20.4,0.004482322,
35:20.4,0.001583395,
35:20.4,0.00319391,
35:20.4,0.000294984,
35:20.4,0.002549704,
35:20.4,0.002549704,
35:20.4,0.001905498,
35:20.4,0.001261292,
35:20.4,0.002871807,
35:20.4,0.002549704,
35:20.5,0.002227601,
35:20.5,0.000617087,
35:20.5,0.00093919,
35:20.5,0.001905498,
35:20.5,0.001905498,
35:20.5,0.002549704,
35:20.5,0.000617087,
35:20.5,0.001905498,
35:20.5,-2.71E-05,
35:20.5,0.001583395,
35:20.6,0.001905498,
35:20.6,0.004482322,
35:20.6,0.002227601,
35:20.6,0.001905498,
35:20.6,0.001905498,
35:20.6,0.001905498,
35:20.6,0.001583395,
35:20.6,0.001261292,
35:20.6,0.002871807,
35:20.6,0.000617087,
35:20.7,0.00319391,
35:20.7,0.002227601,
35:20.7,0.001905498,
35:20.7,-0.000349222,
35:20.7,0.003516013,
35:20.7,0.001905498,
35:20.7,0.001905498,
35:20.7,0.001583395,
35:20.7,0.002227601,
35:20.7,0.001261292,
35:20.8,0.000294984,
35:20.8,0.002549704,
35:20.8,0.00093919,
35:20.8,0.002549704,
35:20.8,0.002227601,
35:20.8,0.002549704,
35:20.8,0.002227601,
35:20.8,0.001261292,
35:20.8,0.001905498,
35:20.8,0.001905498,
35:20.9,0.001583395,
35:20.9,0.004482322,
35:20.9,0.003838116,
35:20.9,0.001261292,
35:20.9,0.001261292,
35:20.9,0.002227601,
35:20.9,0.001905498,
35:20.9,0.001261292,
35:20.9,0.002871807,
35:20.9,0.002227601,
35:21.0,0.001905498,
35:21.0,-2.71E-05,
35:21.0,0.006092836,
35:21.0,0.004482322,
35:21.0,0.002227601,
35:21.0,0.004160219,
35:21.0,-0.001637634,
35:21.0,0.000294984,
35:21.0,0.002227601,
35:21.0,0.001583395,
35:21.1,0.002871807,
35:21.1,0.001905498,
35:21.1,0.001583395,
35:21.1,0.002227601,
35:21.1,0.001905498,
35:21.1,-0.000993428,
35:21.1,-0.000671325,
35:21.1,0.000617087,
35:21.1,0.001261292,
35:21.1,0.001905498,
35:21.2,0.001905498,
35:21.2,0.002871807,
35:21.2,0.001583395,
35:21.2,0.001905498,
35:21.2,0.001583395,
35:21.2,0.001583395,
35:21.2,0.001261292,
35:21.2,0.002227601,
35:21.2,0.001905498,
35:21.2,0.001583395,
35:21.3,0.003516013,
35:21.3,0.002227601,
35:21.3,0.004804425,
35:21.3,0.00319391,
35:21.3,0.000617087,
35:21.3,0.002227601,
35:21.3,0.003838116,
35:21.3,0.002227601,
35:21.3,0.001583395,
35:21.3,0.002871807,
35:21.4,0.001905498,
35:21.4,0.000617087,
35:21.4,0.001583395,
35:21.4,0.001583395,
35:21.4,0.001905498,
35:21.4,0.001905498,
35:21.4,0.005126528,
35:21.4,0.003838116,
35:21.4,-2.71E-05,
35:21.4,0.00093919,
35:21.5,0.008347557,
35:21.5,-0.000671325,
35:21.5,0.00093919,
35:21.5,0.001261292,
35:21.5,0.002871807,
35:21.5,0.002227601,
35:21.5,0.001905498,
35:21.5,0.002227601,
35:21.5,0.001261292,
35:21.5,0.001261292,
35:21.6,-2.71E-05,
35:21.6,0.000294984,
35:21.6,0.000294984,
35:21.6,0.00093919,
35:21.6,0.001261292,
35:21.6,0.001905498,
35:21.6,0.002549704,
35:21.6,0.002227601,
35:21.6,-2.71E-05,
35:21.6,0.001583395,
35:21.7,0.001261292,
35:21.7,0.002549704,
35:21.7,0.001261292,
35:21.7,0.002227601,
35:21.7,0.00319391,
35:21.7,0.001905498,
35:21.7,0.00093919,
35:21.7,0.002227601,
35:21.7,0.001583395,
35:21.7,0.001905498,
35:21.8,0.001583395,
35:21.8,0.000294984,
35:21.8,0.002227601,
35:21.8,0.001261292,
35:21.8,0.002549704,
35:21.8,0.00319391,
35:21.8,0.001261292,
35:21.8,0.001905498,
35:21.8,0.001261292,
35:21.8,0.002549704,
35:21.9,0.001583395,
35:21.9,0.003516013,
35:21.9,0.000617087,
35:21.9,-0.000671325,
35:21.9,0.002549704,
35:21.9,0.002871807,
35:21.9,0.000617087,
35:21.9,0.001261292,
35:21.9,0.002227601,
35:21.9,0.002549704,
35:22.0,0.002549704,
35:22.0,0.001583395,
35:22.0,0.001583395,
35:22.0,0.001905498,
35:22.0,0.001261292,
35:22.0,0.002871807,
35:22.0,0.001905498,
35:22.0,0.002549704,
35:22.0,0.002549704,
35:22.0,0.001583395,
35:22.1,0.004160219,
35:22.1,0.002227601,
35:22.1,0.00093919,
35:22.1,0.00093919,
35:22.1,0.00093919,
35:22.1,0.001905498,
35:22.1,0.002549704,
35:22.1,0.001905498,
35:22.1,0.001261292,
35:22.1,0.002227601,
