Time,Dev1/ai0,Average
37:39.0,0.001905498,0.001692266
37:39.0,0.002549704,
37:39.0,0.00093919,
37:39.0,0.001261292,
37:39.0,0.001261292,
37:39.0,0.001261292,
37:39.0,0.002227601,
37:39.0,0.001905498,
37:39.0,0.001583395,
37:39.0,0.001905498,
37:39.1,0.001583395,
37:39.1,0.00093919,
37:39.1,0.00093919,
37:39.1,0.002227601,
37:39.1,0.00319391,
37:39.1,0.001583395,
37:39.1,0.00093919,
37:39.1,0.002227601,
37:39.1,0.001583395,
37:39.1,0.001261292,
37:39.2,0.002871807,
37:39.2,0.001261292,
37:39.2,0.001905498,
37:39.2,0.001261292,
37:39.2,0.001583395,
37:39.2,0.00093919,
37:39.2,0.001905498,
37:39.2,0.002227601,
37:39.2,0.00093919,
37:39.2,0.001261292,
37:39.3,0.00093919,
37:39.3,0.002549704,
37:39.3,0.002549704,
37:39.3,0.002227601,
37:39.3,0.001583395,
37:39.3,0.001261292,
37:39.3,0.001583395,
37:39.3,0.001905498,
37:39.3,0.001905498,
37:39.3,0.002227601,
37:39.4,0.001261292,
37:39.4,0.001905498,
37:39.4,0.002227601,
37:39.4,0.000617087,
37:39.4,0.001583395,
37:39.4,0.002227601,
37:39.4,0.002549704,
37:39.4,0.001905498,
37:39.4,0.00093919,
37:39.4,0.001583395,
37:39.5,0.002227601,
37:39.5,0.001261292,
37:39.5,0.00093919,
37:39.5,0.001583395,
37:39.5,0.002227601,
37:39.5,0.002871807,
37:39.5,0.002227601,
37:39.5,0.001261292,
37:39.5,0.002549704,
37:39.5,0.00093919,
37:39.6,0.000617087,
37:39.6,0.002227601,
37:39.6,0.001905498,
37:39.6,0.001905498,
37:39.6,0.001583395,
37:39.6,0.001905498,
37:39.6,0.001261292,
37:39.6,0.001261292,
37:39.6,0.002549704,
37:39.6,0.000617087,
37:39.7,0.002227601,
37:39.7,0.001261292,
37:39.7,0.001905498,
37:39.7,0.001905498,
37:39.7,0.001261292,
37:39.7,0.001905498,
37:39.7,0.001583395,
37:39.7,0.001583395,
37:39.7,0.001905498,
37:39.7,0.00093919,
37:39.8,0.001905498,
37:39.8,0.001905498,
37:39.8,0.001583395,
37:39.8,0.002549704,
37:39.8,0.002227601,
37:39.8,0.002549704,
37:39.8,0.002227601,
37:39.8,0.001905498,
37:39.8,0.001905498,
37:39.8,0.002227601,
37:39.9,0.001905498,
37:39.9,0.00319391,
37:39.9,0.001905498,
37:39.9,0.001583395,
37:39.9,0.001583395,
37:39.9,0.001261292,
37:39.9,0.001583395,
37:39.9,0.001261292,
37:39.9,0.002549704,
37:39.9,0.001583395,
37:40.0,0.001583395,
37:40.0,0.000617087,
37:40.0,0.001261292,
37:40.0,0.001261292,
37:40.0,0.000294984,
37:40.0,0.001583395,
37:40.0,0.002227601,
37:40.0,0.00093919,
37:40.0,0.001583395,
37:40.0,0.001583395,
37:40.1,0.001583395,
37:40.1,0.001261292,
37:40.1,0.001261292,
37:40.1,0.001583395,
37:40.1,0.001261292,
37:40.1,0.002227601,
37:40.1,0.002227601,
37:40.1,0.000617087,
37:40.1,0.002549704,
37:40.1,0.000617087,
37:40.2,0.002549704,
37:40.2,0.003516013,
37:40.2,0.002227601,
37:40.2,0.00093919,
37:40.2,0.002227601,
37:40.2,0.001905498,
37:40.2,0.002227601,
37:40.2,0.00093919,
37:40.2,0.00093919,
37:40.2,0.001905498,
37:40.3,0.002871807,
37:40.3,0.00093919,
37:40.3,0.001261292,
37:40.3,0.002549704,
37:40.3,0.001261292,
37:40.3,0.001905498,
37:40.3,0.001905498,
37:40.3,0.001261292,
37:40.3,0.001583395,
37:40.3,0.001905498,
37:40.4,0.001261292,
37:40.4,0.001905498,
37:40.4,0.001905498,
37:40.4,0.001583395,
37:40.4,0.002227601,
37:40.4,0.001583395,
37:40.4,0.002227601,
37:40.4,0.001583395,
37:40.4,0.001583395,
37:40.4,0.002227601,
37:40.5,0.002549704,
37:40.5,0.001261292,
37:40.5,0.001583395,
37:40.5,0.001583395,
37:40.5,0.001905498,
37:40.5,0.002227601,
37:40.5,0.001905498,
37:40.5,0.000617087,
37:40.5,0.000617087,
37:40.5,0.002227601,
37:40.6,0.002227601,
37:40.6,0.001905498,
37:40.6,0.001905498,
37:40.6,0.001583395,
37:40.6,0.001261292,
37:40.6,0.001905498,
37:40.6,0.002227601,
37:40.6,0.000617087,
37:40.6,0.001583395,
37:40.6,0.001583395,
37:40.7,0.002227601,
37:40.7,0.001905498,
37:40.7,0.001583395,
37:40.7,0.002549704,
37:40.7,0.00093919,
37:40.7,0.001905498,
37:40.7,0.000294984,
37:40.7,0.002871807,
37:40.7,0.001583395,
37:40.7,0.001905498,
37:40.8,0.002871807,
37:40.8,0.001261292,
37:40.8,0.001905498,
37:40.8,0.001583395,
37:40.8,0.003516013,
37:40.8,0.001905498,
37:40.8,0.00093919,
37:40.8,0.001583395,
37:40.8,0.002227601,
37:40.8,0.001583395,
37:40.9,0.002871807,
37:40.9,0.00093919,
37:40.9,0.00319391,
37:40.9,0.001261292,
37:40.9,0.002227601,
37:40.9,0.002871807,
37:40.9,0.001261292,
37:40.9,0.000617087,
37:40.9,0.002227601,
37:40.9,0.001583395,
37:41.0,0.002549704,
37:41.0,0.001583395,
37:41.0,0.001905498,
37:41.0,0.001261292,
37:41.0,0.002227601,
37:41.0,0.00093919,
37:41.0,0.001261292,
37:41.0,0.000617087,
37:41.0,0.001261292,
37:41.0,0.001583395,
37:41.1,0.001583395,
37:41.1,0.001583395,
37:41.1,0.001905498,
37:41.1,0.001261292,
37:41.1,0.002871807,
37:41.1,0.002871807,
37:41.1,0.001261292,
37:41.1,0.002227601,
37:41.1,0.002227601,
37:41.1,0.001261292,
37:41.2,0.001261292,
37:41.2,0.001905498,
37:41.2,0.00093919,
37:41.2,0.001261292,
37:41.2,0.001905498,
37:41.2,0.002549704,
37:41.2,0.003516013,
37:41.2,0.000617087,
37:41.2,0.002227601,
37:41.2,0.001905498,
37:41.3,0.001261292,
37:41.3,0.001583395,
37:41.3,0.001905498,
37:41.3,0.00093919,
37:41.3,0.002227601,
37:41.3,0.001583395,
37:41.3,0.001583395,
37:41.3,0.001583395,
37:41.3,0.002871807,
37:41.3,0.001261292,
37:41.4,0.001583395,
37:41.4,0.00093919,
37:41.4,0.001905498,
37:41.4,0.000294984,
37:41.4,0.002549704,
37:41.4,0.002549704,
37:41.4,0.002227601,
37:41.4,0.001583395,
37:41.4,0.001583395,
37:41.4,0.001261292,
37:41.5,0.00093919,
37:41.5,0.001261292,
37:41.5,0.000294984,
37:41.5,0.000617087,
