Time,Dev1/ai0,Average
33:04.8,0.406144661,0.410654102
33:04.8,0.408077278,
33:04.8,0.411942513,
33:04.8,0.415807748,
33:04.8,0.411298307,
33:04.8,0.408721484,
33:04.8,0.413553028,
33:04.8,0.406144661,
33:04.8,0.417740366,
33:04.8,0.414519337,
33:04.9,0.40711097,
33:04.9,0.413875131,
33:04.9,0.415485645,
33:04.9,0.408399381,
33:04.9,0.411298307,
33:04.9,0.417418263,
33:04.9,0.412586719,
33:04.9,0.407433072,
33:04.9,0.412908822,
33:04.9,0.413875131,
33:05.0,0.412586719,
33:05.0,0.41162041,
33:05.0,0.413230925,
33:05.0,0.40936569,
33:05.0,0.41162041,
33:05.0,0.401957323,
33:05.0,0.410331999,
33:05.0,0.411298307,
33:05.0,0.410654102,
33:05.0,0.413875131,
33:05.1,0.411942513,
33:05.1,0.409043587,
33:05.1,0.410331999,
33:05.1,0.412908822,
33:05.1,0.407755175,
33:05.1,0.406466764,
33:05.1,0.410976205,
33:05.1,0.410331999,
33:05.1,0.411942513,
33:05.1,0.407433072,
33:05.2,0.407433072,
33:05.2,0.405178352,
33:05.2,0.413553028,
33:05.2,0.410654102,
33:05.2,0.413230925,
33:05.2,0.415163542,
33:05.2,0.414519337,
33:05.2,0.413553028,
33:05.2,0.405178352,
33:05.2,0.413230925,
33:05.3,0.412908822,
33:05.3,0.411298307,
33:05.3,0.410654102,
33:05.3,0.412586719,
33:05.3,0.411942513,
33:05.3,0.408077278,
33:05.3,0.405822558,
33:05.3,0.410331999,
33:05.3,0.411942513,
33:05.3,0.412908822,
33:05.4,0.410654102,
33:05.4,0.41709616,
33:05.4,0.409687793,
33:05.4,0.412586719,
33:05.4,0.408721484,
33:05.4,0.407755175,
33:05.4,0.410331999,
33:05.4,0.412264616,
33:05.4,0.417418263,
33:05.4,0.410654102,
33:05.5,0.414519337,
33:05.5,0.414197234,
33:05.5,0.414197234,
33:05.5,0.410009896,
33:05.5,0.406788867,
33:05.5,0.409687793,
33:05.5,0.415163542,
33:05.5,0.41162041,
33:05.5,0.412908822,
33:05.5,0.411298307,
33:05.6,0.408721484,
33:05.6,0.411298307,
33:05.6,0.408077278,
33:05.6,0.411942513,
33:05.6,0.40388994,
33:05.6,0.412908822,
33:05.6,0.40936569,
33:05.6,0.416774057,
33:05.6,0.400668911,
33:05.6,0.414519337,
33:05.7,0.404212043,
33:05.7,0.406788867,
33:05.7,0.409043587,
33:05.7,0.402279426,
33:05.7,0.410331999,
33:05.7,0.415485645,
33:05.7,0.405822558,
33:05.7,0.418706675,
33:05.7,0.402923632,
33:05.7,0.400991014,
33:05.8,0.40936569,
33:05.8,0.409043587,
33:05.8,0.408077278,
33:05.8,0.411942513,
33:05.8,0.416451954,
33:05.8,0.408399381,
33:05.8,0.41484144,
33:05.8,0.41162041,
33:05.8,0.410331999,
33:05.8,0.407755175,
33:05.9,0.409687793,
33:05.9,0.412586719,
33:05.9,0.411298307,
33:05.9,0.410331999,
33:05.9,0.406466764,
33:05.9,0.413875131,
33:05.9,0.410976205,
33:05.9,0.411942513,
33:05.9,0.410654102,
33:05.9,0.416129851,
33:06.0,0.409043587,
33:06.0,0.40711097,
33:06.0,0.410976205,
33:06.0,0.399058397,
33:06.0,0.40936569,
33:06.0,0.421927704,
33:06.0,0.411942513,
33:06.0,0.414519337,
33:06.0,0.411942513,
33:06.0,0.406788867,
33:06.1,0.410976205,
33:06.1,0.408721484,
33:06.1,0.408721484,
33:06.1,0.406788867,
33:06.1,0.416129851,
33:06.1,0.410331999,
33:06.1,0.402923632,
33:06.1,0.395515264,
33:06.1,0.417740366,
33:06.1,0.406466764,
33:06.2,0.397125779,
33:06.2,0.407755175,
33:06.2,0.411298307,
33:06.2,0.420317189,
33:06.2,0.415163542,
33:06.2,0.41162041,
33:06.2,0.413875131,
33:06.2,0.410654102,
33:06.2,0.410331999,
