Time,Dev1/ai0,Average
26:39.8,0.002871807,0.001782455
26:39.8,0.001905498,
26:39.8,0.00093919,
26:39.8,0.002227601,
26:39.8,0.002227601,
26:39.8,0.001905498,
26:39.8,0.001261292,
26:39.8,0.001583395,
26:39.8,0.001905498,
26:39.9,0.002227601,
26:39.9,0.001905498,
26:39.9,0.001583395,
26:39.9,0.00093919,
26:39.9,0.002227601,
26:39.9,0.002227601,
26:39.9,0.001583395,
26:39.9,0.001261292,
26:39.9,0.001261292,
26:39.9,0.002227601,
26:40.0,0.001905498,
26:40.0,0.002227601,
26:40.0,0.002227601,
26:40.0,0.002871807,
26:40.0,0.00093919,
26:40.0,0.001261292,
26:40.0,0.002549704,
26:40.0,0.002871807,
26:40.0,0.002549704,
26:40.0,0.002227601,
26:40.1,0.001905498,
26:40.1,0.002227601,
26:40.1,0.00093919,
26:40.1,0.002549704,
26:40.1,0.001905498,
26:40.1,0.000294984,
26:40.1,0.001261292,
26:40.1,0.000617087,
26:40.1,0.002549704,
26:40.1,0.002549704,
26:40.2,0.002227601,
26:40.2,0.001261292,
26:40.2,0.001583395,
26:40.2,0.001583395,
26:40.2,0.002227601,
26:40.2,0.001905498,
26:40.2,0.002227601,
26:40.2,0.002549704,
26:40.2,0.001261292,
26:40.2,0.001905498,
26:40.3,0.00093919,
26:40.3,0.000617087,
26:40.3,0.001583395,
26:40.3,0.001583395,
26:40.3,0.002871807,
26:40.3,0.001583395,
26:40.3,0.002227601,
26:40.3,0.002227601,
26:40.3,0.001905498,
26:40.3,0.001261292,
26:40.4,0.001583395,
26:40.4,0.002227601,
26:40.4,0.002871807,
26:40.4,0.001261292,
26:40.4,0.002227601,
26:40.4,0.001583395,
26:40.4,0.001261292,
26:40.4,0.002227601,
26:40.4,0.002549704,
26:40.4,0.00093919,
26:40.5,0.001905498,
26:40.5,0.001261292,
26:40.5,0.002227601,
26:40.5,0.002549704,
26:40.5,0.001583395,
26:40.5,0.002871807,
26:40.5,0.001583395,
26:40.5,0.002871807,
26:40.5,0.001261292,
26:40.5,0.001261292,
26:40.6,0.000294984,
26:40.6,0.002549704,
26:40.6,0.002227601,
26:40.6,0.00093919,
26:40.6,0.002227601,
26:40.6,0.002227601,
26:40.6,0.002227601,
26:40.6,0.001261292,
26:40.6,0.001905498,
26:40.6,0.001905498,
26:40.7,0.001261292,
26:40.7,0.001261292,
26:40.7,0.002871807,
26:40.7,0.001583395,
26:40.7,0.000294984,
26:40.7,0.00093919,
26:40.7,0.002227601,
26:40.7,0.002227601,
26:40.7,0.001261292,
26:40.7,0.001583395,
26:40.8,0.002227601,
26:40.8,0.00319391,
26:40.8,0.002227601,
26:40.8,0.002227601,
26:40.8,0.001583395,
26:40.8,0.002227601,
26:40.8,0.001905498,
26:40.8,0.001583395,
26:40.8,0.002227601,
26:40.8,0.002227601,
26:40.9,0.001261292,
26:40.9,0.001583395,
26:40.9,0.002549704,
26:40.9,0.002549704,
26:40.9,0.001261292,
26:40.9,0.001905498,
26:40.9,0.001905498,
26:40.9,0.00319391,
26:40.9,-2.71E-05,
26:40.9,0.00093919,
26:41.0,0.002549704,
26:41.0,0.001905498,
26:41.0,0.001905498,
26:41.0,0.002227601,
26:41.0,0.001261292,
26:41.0,0.000617087,
26:41.0,0.002227601,
26:41.0,0.001583395,
26:41.0,0.001905498,
26:41.0,0.000617087,
26:41.1,0.001905498,
26:41.1,0.002871807,
26:41.1,0.002227601,
26:41.1,0.001583395,
26:41.1,0.001905498,
26:41.1,0.001583395,
26:41.1,0.001905498,
26:41.1,0.002549704,
26:41.1,0.001905498,
26:41.1,0.000294984,
26:41.2,0.001905498,
26:41.2,0.002549704,
26:41.2,0.002227601,
26:41.2,0.001261292,
26:41.2,0.002227601,
26:41.2,0.001905498,
26:41.2,0.001261292,
26:41.2,0.002871807,
26:41.2,0.002227601,
26:41.2,0.001905498,
26:41.3,0.002227601,
26:41.3,0.001261292,
26:41.3,0.001905498,
26:41.3,0.002871807,
26:41.3,0.00093919,
26:41.3,0.002227601,
26:41.3,0.002871807,
26:41.3,0.001583395,
26:41.3,0.002549704,
26:41.3,0.001905498,
26:41.4,0.000617087,
26:41.4,0.001905498,
26:41.4,0.001583395,
26:41.4,0.001905498,
26:41.4,0.001583395,
26:41.4,0.000617087,
26:41.4,0.002871807,
26:41.4,0.001583395,
26:41.4,0.001905498,
26:41.4,0.00093919,
26:41.5,0.000617087,
26:41.5,0.004482322,
26:41.5,0.002227601,
26:41.5,0.002549704,
26:41.5,0.001905498,
26:41.5,0.002227601,
26:41.5,0.001583395,
26:41.5,0.000617087,
26:41.5,0.001905498,
26:41.5,0.00093919,
26:41.6,0.00093919,
26:41.6,0.001583395,
26:41.6,0.002549704,
26:41.6,0.001905498,
26:41.6,0.002227601,
26:41.6,0.004482322,
26:41.6,0.001261292,
26:41.6,0.00093919,
26:41.6,0.002871807,
26:41.6,0.003516013,
26:41.7,0.001261292,
26:41.7,0.002227601,
26:41.7,0.002549704,
26:41.7,0.001905498,
26:41.7,0.000617087,
26:41.7,0.001261292,
26:41.7,0.001905498,
26:41.7,0.002549704,
26:41.7,0.001583395,
26:41.7,0.002549704,
26:41.8,0.000617087,
26:41.8,0.001583395,
26:41.8,0.002871807,
26:41.8,0.000294984,
26:41.8,-0.000349222,
26:41.8,0.001261292,
26:41.8,0.001905498,
26:41.8,0.001583395,
26:41.8,0.000617087,
26:41.8,0.001905498,
26:41.9,0.000617087,
26:41.9,0.001905498,
26:41.9,0.001261292,
26:41.9,0.002549704,
26:41.9,0.001583395,
26:41.9,0.002549704,
26:41.9,0.001261292,
26:41.9,0.00093919,
26:41.9,0.000294984,
26:41.9,0.001905498,
26:42.0,0.00093919,
26:42.0,0.00093919,
26:42.0,0.001261292,
26:42.0,0.00093919,
26:42.0,0.001261292,
26:42.0,0.000294984,
26:42.0,0.001905498,
26:42.0,0.002227601,
26:42.0,0.001261292,
26:42.0,0.002871807,
26:42.1,0.00093919,
26:42.1,0.001583395,
26:42.1,0.001583395,
26:42.1,0.000617087,
26:42.1,-2.71E-05,
26:42.1,0.001261292,
26:42.1,0.000617087,
26:42.1,0.001905498,
26:42.1,0.001905498,
26:42.1,0.002549704,
26:42.2,0.001905498,
26:42.2,0.00093919,
26:42.2,0.002549704,
26:42.2,0.002227601,
26:42.2,0.001905498,
26:42.2,0.001583395,
26:42.2,0.002871807,
26:42.2,-2.71E-05,
26:42.2,-0.000349222,
26:42.2,0.000617087,
26:42.3,0.00093919,
26:42.3,0.002227601,
26:42.3,0.00093919,
26:42.3,0.001261292,
26:42.3,0.002227601,
26:42.3,0.001261292,
26:42.3,0.001905498,
26:42.3,0.001261292,
26:42.3,0.004160219,
26:42.3,0.003516013,
26:42.4,0.002871807,
26:42.4,0.004160219,
26:42.4,0.002227601,
26:42.4,0.001905498,
26:42.4,0.001261292,
26:42.4,0.002549704,
26:42.4,0.00093919,
26:42.4,0.001261292,
26:42.4,0.002871807,
26:42.4,0.001905498,
26:42.5,0.002227601,
26:42.5,0.001583395,
26:42.5,0.002227601,
26:42.5,0.002549704,
26:42.5,-2.71E-05,
26:42.5,0.001583395,
26:42.5,0.002227601,
26:42.5,0.000294984,
26:42.5,0.002227601,
26:42.5,0.001261292,
26:42.6,0.002549704,
26:42.6,0.002871807,
26:42.6,0.002227601,
26:42.6,0.002549704,
26:42.6,0.001261292,
26:42.6,0.001905498,
26:42.6,0.001905498,
26:42.6,0.000617087,
26:42.6,0.001905498,
26:42.6,-0.000349222,
26:42.7,0.004482322,
26:42.7,0.001261292,
26:42.7,0.002227601,
26:42.7,0.004482322,
26:42.7,0.002871807,
26:42.7,0.001905498,
26:42.7,0.001905498,
26:42.7,0.002549704,
26:42.7,0.001261292,
26:42.7,0.001905498,
26:42.8,0.002871807,
26:42.8,0.00093919,
26:42.8,0.001905498,
26:42.8,0.00544863,
26:42.8,0.006092836,
26:42.8,0.00093919,
26:42.8,0.003838116,
26:42.8,-0.000349222,
26:42.8,0.002227601,
26:42.8,0.002227601,
26:42.9,0.001261292,
26:42.9,0.002227601,
26:42.9,0.002227601,
26:42.9,0.001261292,
26:42.9,0.001583395,
26:42.9,0.001583395,
26:42.9,0.002871807,
26:42.9,0.000294984,
26:42.9,0.000294984,
26:42.9,0.00319391,
26:43.0,0.002227601,
26:43.0,0.002227601,
26:43.0,0.000617087,
26:43.0,0.002227601,
26:43.0,-0.000671325,
26:43.0,0.001583395,
26:43.0,0.00093919,
26:43.0,0.001261292,
26:43.0,0.002871807,
26:43.0,0.003516013,
26:43.1,0.001583395,
26:43.1,0.001583395,
26:43.1,0.001583395,
26:43.1,0.001261292,
26:43.1,0.002871807,
26:43.1,0.00319391,
26:43.1,0.001905498,
26:43.1,0.001905498,
26:43.1,-2.71E-05,
26:43.1,0.001905498,
26:43.2,0.001261292,
26:43.2,0.001905498,
26:43.2,0.00093919,
26:43.2,0.001583395,
26:43.2,0.001905498,
26:43.2,0.002549704,
26:43.2,0.002549704,
26:43.2,0.002871807,
26:43.2,0.004160219,
26:43.2,0.001905498,
26:43.3,-0.000349222,
26:43.3,0.002549704,
26:43.3,0.002227601,
26:43.3,0.001261292,
26:43.3,0.001583395,
26:43.3,0.001583395,
26:43.3,-2.71E-05,
26:43.3,0.001261292,
26:43.3,0.002227601,
26:43.3,0.002549704,
26:43.4,0.001905498,
26:43.4,0.003516013,
26:43.4,0.00093919,
